Volumes,Contributor,Title,Year,Publisher,PB page / refs,Best confidence,Search tier
2,Larry Sultan and Mike Mandel,Evidence,1977,"Ciatworthy Colorvues, Greenbrae, Santa Cruz, California, 1977",V2: 221,Very high,CORE
2,Larry Towell,The Mennonites,2000,"Phaidon Press, London, 2000",V2: 256,Very high,CORE
2,Lars Tunbjork,Office/Kontor,2001,"Journal, Stockholm, 2001",V2: 319,Very high,CORE
2,Lars Tunbjörk,Landet Utom Sig,1993,"Journal, Stockholm, 1993",V2: 72,Very high,CORE
2,Lee Friedlander,Cray at Chippewa Falls,1987,"Cray Research, Minneapolis, Minnesota, 1987",V2: 199,Very high,CORE
2,Lee Friedlander,The American Monument,1976,"The Eakins Press Foundation, New York, 1976",V2: 28,Very high,CORE
3,Leigh Ledare,Pretend You're Actually Alive,2008,PPP éditions,V3: 99,Medium,BROAD
1,"Lerski, Helmar",Köpfe des Alltags: unbekannte Menschen,,,V1: 130-1,High provisional,CORE
2,Les Krims,Making Chicken Soup,1972,"Humpy Press, Buffalo, New York, 1972",V2: 22,Very high,CORE
1,"Levitt, Helen",A Way of Seeing,,,V1: 252-3,High provisional,CORE
2,Lewis Baltz,Park City,1980,"Artspace Press, Albuquerque, New Mexico and Castelli Graphics, New York, 1980",V2: 34,Very high,CORE
2,Lionel Wendt,Lionel Wendt's Ceylon,1950,"Lincolns-Prager Publishers, London, 1950",V2: 99,Very high,CORE
3,Lise Sarfati,She,,,,Medium,BROAD
1,"Loewy, Maurice M / Puiseux, M Pierre",Atlas photographique de la lune,,,V1: 54-5,High provisional,CORE
2,"Louis Aragon and Benjamin Péret, eds",1929,1929,"Éditions de la Revue Variétés, Brussels, 1929 (edition of 215)",V2: 138,Very high,CORE
3,Luc Chessex,Le visage de la révolution,1969,H.-R. Lutz,V3: 112,Medium,BROAD
2,Luc Delahaye,Winterreise,2000,"Phaidon Press, London, 2000",V2: 257,Very high,CORE
1,"Luynes, Honoré d‘Albert, Duc de",Voyage d’exploration à la mer Morte,,,V1: 33,High provisional,CORE
1,"Lyon, Danny",The Bikeriders,,,V1: 256,High provisional,CORE
1,"Lőrinczy, György","New York, New York",,,"V1: 233, 262-3",Medium provisional,BROAD
1,"Maccheroni, Henri",Cent photographies du sexe d’une femme,,,V1: 193,Medium provisional,BROAD
1,"MacLeish, Archibald",Land of the Free,,,V1: 180,High provisional,CORE
2,Manfred Willmann,Das Land,2000,"Fotohof, Salzburg, 2000",V2: 314,Very high,CORE
2,Manuel Alvarez Bravo,Fotografías (Photographs),1945,"Sociedad de Arte Moderno, Mexico City, 1945",V2: 98,Very high,CORE
3,Manuel Gasser,Aus dem Leben der Rennfahrer,1943,Grossenbacher,V3: 283,Medium,BROAD
3,Mao Ishikawa,Hot Nights in Camp Hansen,1982,,,Very high,CORE
2,Marcelo Brodsky,Buena memoria/Good Memory,1997,"La marca, Buenos Aires, 1997",V2: 119,Very high,CORE
2,Marjaana Kella,Marjaana Kella,2002,"Van Zoetendaal Publishers, Amsterdam, 2002",V2: 86,Very high,CORE
2,Mark Power,The Treasury Project,2002,"Photoworks in association with Exchequer Partnership, London, 2002 (edition of 1,500, 500 available for public sale)",V2: 203,Very high,CORE
2,Martien Coppens,Monsters van de Peel,1958,"Lecturis, Eindhoven, 1958",V2: 190,Very high,CORE
1,"Martins, Costa / Palla, Victor",Lisboa: cidade triste e alegre,,,V1: 212-13,High provisional,CORE
1,"Martone, Michael",Dark Light,,,V1: 237,Medium provisional,BROAD
2,Marvin Heiferman and Carole Kismaric,I'm So Happy,1990,"Vintage Books, New York, 1990",V2: 223,Very high,CORE
2,Masafumi Sanai,Wakaranai,1998,"Korinsha Press, Kyoto, 1998",V2: 306,Very high,CORE
3,Masao Gozu,In New York,1990,Advertise Communication Co.,V3: 163,Medium,BROAD
3,Masao Gozu,In New York Feb. 1971-Apr. 1990,1990,Advertise Communication Co.,V3: 163,Medium,BROAD
2,Massimo Vitali,Les Plages du Var,2000,"Hôtel des Arts, Toulon, 2000",V2: 284,Very high,CORE
1,"Matsue, Taiji",Taiji Matsue,,,V1: 310,High provisional,CORE
2,Matthew Sleeth,Tour of Duty: Winning Hearts and Minds in East Timor,2002,"Hardie Grant Publishing, South Yarra, Victoria in association with M 33, Balaclava, Victoria, Australia, 2002",V2: 257,Very high,CORE
2,Max Pam,Going East,1992,"Marval, Paris, 1992",V2: 122,Very high,CORE
3,Max Pam,Ramadan in Yemen,2011,Editions Bessard,,High,CORE
1,"Mayakovsky, Vladimir / Rodchenko, Alexander",Pro Eto. Ei i Mne,,,V1: 91,High provisional,CORE
2,Mayito (Mario García Joya),A la plaza con Fidel,1970,"Instituto del Libro, Havana, 1970",V2: 109,Very high,CORE
1,"Mendelsohn, Erich",Amerika: Bilderbuch eines Architekten,,,V1: 76-7,High provisional,CORE
3,Merry Alpern,Dirty Windows,1995,,,Very high,CORE
2,Michael Lesy,Wisconsin Death Trip,1973,"Pantheon Books, New York, 1973",V2: 216,Very high,CORE
2,Michael Schmidt,Waffenruhe,1987,"Dirk Nishen, Berlin, 1987",V2: 65,Very high,CORE
2,Michael Snow,Cover to Cover,1975,"Press of the Nova Scotia College of Art and Design, Halifax, and New York University Press, New York, 1975",V2: 156,Very high,CORE
3,Michael Wolf,Tokyo Compression,2010,Peperoni / Asia One,V3: 131,Medium,BROAD
3,Michael Wolf,Tokyo Compression Three,,,,High,CORE
2,Miguel Rio Branco,Silent Book,1997,"Cosac & Naify, São Paulo, 1997",V2: 118,Very high,CORE
3,Mike Brodie,A Period of Juvenile Prosperity,2012,Twin Palms,,High,CORE
1,"Mishima, Yukio",Baraker Shinshuban,,,V1: 282-3,High provisional,CORE
2,Mitch Epstein,Family Business,2003,"Steidl, Göttingen, 2003",V2: 51,Very high,CORE
2,Miyako Ishiuchi,Mother's,2002,"Sokyu-sha, Tokyo, 2002",V2: 320,Very high,CORE
1,"Moholy-Nagy, László",Malerei Fotografie Film,,,V1: 92-3,High provisional,CORE
1,"Morgagni, Manlio",Italia imperiale,,,V1: 175,High provisional,CORE
1,"Moriyama, Daido",Karyudo,,,V1: 300,High provisional,CORE
1,"Moriyama, Daido",Mo Kuni New York,,,V1: 301,High provisional,CORE
1,"Moriyama, Daido",Nippon Gekijo Shashincho,,,V1: 288,High provisional,CORE
1,"Moriyama, Daido",Shashin yo Sayonara,,,"V1: 4, 267, 298-9",Medium provisional,BROAD
1,"Moriyama, Daido",‘71-NY,,,V1: 301,High provisional,CORE
2,Mu Chen and Shao Yinong,Family Register,2002,"Zhejiang Photography Publishing House, Beijing, 2002",V2: 127,Very high,CORE
1,"Muybridge, Eadweard",Animal Locomotion,,,V1: 52,High provisional,CORE
2,Nacho López,La Ciudad de México II,1960,"Artes de México, Mexico City, 1960",V2: 103,Very high,CORE
1,"Nakahira, Takuma",Kitarubeki Kotoba no Tameni,,,V1: 292-3,High provisional,CORE
2,Nan Goldin,The Ballad of Sexual Dependency,1986,"Aperture, Millerton, New York, 1986",V2: 39,Very high,CORE
1,"Nezval, Vitézslav",ABECEDA,,,V1: 94,High provisional,CORE
3,Nguyen Manh Dan & Nguyen Ngoc Hanh,Viet Nam in Flames,1969,,V3: 194,Very high,CORE
3,Nicolas Simarik,La Déroute,2006,Entrez sans frapper,V3: 238,Medium,BROAD
1,"Nègre, Charles",Voyage d’exploration a la mer morte,,,V1: 33,High provisional,CORE
2,O Winston Link,'Night Trick' on the Norfolk and Western Railway,1957,"Norfolk and Western Railway, Roanoke, Virginia, 1957",V2: 188,Very high,CORE
1,"O'Sullivan, Timothy","Photographs showing Landscapes, Geological and other Features, of Portions of the Western Territory of the United States",,,V1: 46,High provisional,CORE
1,"Ohara, Ken",One,,,V1: 291,High provisional,CORE
2,Oliviero Toscani,Colors Cacas,1998,"Leonardo Arte, Posano, 1998",V2: 281,Very high,CORE
1,"Ongania, Ferdinando",Streets and Canals in Venice,,,V1: 72-3,High provisional,CORE
1,"Orsi, Carlo / Pirelli, Giulia",Milano,,,V1: 224-5,High provisional,CORE
2,Osamu Kanemura,Spider's Strategy,2001,"Osiris, Tokyo, 2001",V2: 318,Very high,CORE
3,Osamu Nagahama,The Island of Long Hot Nights,1972,Haga Shoten,,High,CORE
3,Paola Mattioli & Anna Candiani,Immagini del No,1974,All'insegna del pesce d'oro,V3: 63,High,CORE
2,Paolo Gasparini,"Megalopolis: Los Angeles, Mexico, San Paolo",2000,"Centro di Ricerca e Archiviazione della Fotografía (CRAF), Gradisca d'Isonzo, 2000",V2: 120,Very high,CORE
2,Paolo Gasparini,"Para verte mejor, América Latina (To See You More Clearly, Latin America)",1972,"Siglo XXI Editores, Mexico City, 1972",V2: 112,Very high,CORE
3,Paolo Pellegrin,Kosovo 1999-2000,,,,High,CORE
2,Paul Fusco,RFK Funeral Train,1999,"Magnum Photos, in association with The Photographers' Gallery, London, 1999",V2: 46,Very high,CORE
3,Paul Graham,A Shimmer of Possibility,2007,SteidlMACK,,High,CORE
2,Paul Graham,Beyond Caring,1986,"BEYOND CARING Grey Editions, London, 1986",V2: 300,Very high,CORE
2,Paul Graham,New Europe,1993,"Fotomuseum, Winterthur and Cornerhouse Publications, Manchester, 1993",V2: 71,Very high,CORE
3,Paul Kranzler,Land of Milk and Honey,,,,High,CORE
2,Paul Nash,Fertile Image,1951,"Faber and Faber, London, 1951",V2: 139,Very high,CORE
2,Paul Seawright,Hidden,2003,"Imperial War Museum, in association with Oriel Mostyn Gallery, Llanduno, Ffotogallery, Cardiff, and the Irish Museum of Modern Art, London, 2003",V2: 285,Very high,CORE
2,Paul Shambroom,Meetings,2004,"Chris Boot, London, 2004",V2: 49,Very high,CORE
2,Pedro Meyer,Los cohetes duraron todo el día,1988,"Petróleos Mexicanos, Mexico City, 1988",V2: 199,Very high,CORE
2,Pekka Turunen,"Seinää Vasten: Lypö, Tilkkanen, Mörsky ja Minä (Against the Wall: Lypö, Tilkkanen, Mörsky and I)",1995,"Kustannus Pohjoinen, Helsinki, 1995",V2: 78,Very high,CORE
3,Peter Bialobrzeski,Lost in Transition,2007,Hatje Cantz Verlag,,High,CORE
2,Peter Fischli and David Weiss,Airports,1990,"Edition Patrick Frey and Instituto Valenciano de Arte Moderno, Zurich, 1990",V2: 271,Very high,CORE
2,Peter Merom,The Death of the Lake,1961,"Davar, Tel Aviv, 1961",V2: 100,Very high,CORE
1,"Peterka, Miroslav",Toto město je ve společné péči obyvatel,,,V1: 222-3,High provisional,CORE
1,"Peterkin, Julia","Roll, Jordan, Roll!",,,V1: 135,High provisional,CORE
1,"Petersen, Anders",Café Lehmitz,,,V1: 230-1,High provisional,CORE
3,Philip Blenkinsop,The Cars that Ate Bangkok,1996,White Lotus,,High,CORE
2,Philip Jones Griffiths,Vietnam Inc.,1971; 2001,"Collier Books, New York, 1971 (republished with a foreword by Noam Chomsky by Phaidon Press, London, 2001)",V2: 251,Very high,CORE
2,Philip Phillips,The Forth Bridge,1890,"R Grant & Son, Edinburgh, 1890 (2nd edition)",V2: 181,Very high,CORE
3,Pieter Hugo,The Hyena & Other Men,2007,Prestel,V3: 240,Medium,BROAD
1,"Price, William Lake",A Manual of Photographic Manipulation,,,V1: 63,Medium provisional,BROAD
1,"Prout, Victor Albert",The Thames from London to Oxford in Forty Photographs,,,V1: 67,High provisional,CORE
1,"Puhlmann, Gerhard",Die Stalinallee,,,V1: 182,High provisional,CORE
2,"Rafael Larco H (Herrera), ed",Cusco histórico (Historic Cusco),1934,"Casa Editora, Lima, 1934",V2: 96,Very high,CORE
1,"Ramseger, Georg / Wicki, Bernhard",Zwei Gramm Licht,,,V1: 215,High provisional,CORE
2,"Raphael Abramovitch, ed",The Vanished World,1947,"Forward Association, New York, 1947",V2: 215,Very high,CORE
2,Raymond Depardon,La ferme du Garet,1995,"Éditions Carré, Paris, 1995",V2: 73,Very high,CORE
2,Raúl Corrales and Constantino Arias,Cuba: dos épocas (Cuba: Two Eras),1987,"Fondo de Cultura Económica, Colleción Río de Luz, Mexico City, 1987",V2: 116,Very high,CORE
1,"Renger-Patzsch, Albert",Die Welt ist Schön,,,V1: 97,High provisional,CORE
