Volumes,Contributor,Title,Year,Publisher,PB page / refs,Best confidence,Search tier
2,Roni Horn,To Place - Book III: Lava,1992,"Book III: Lava Roni Horn, New York, 1992 (edition of 750, special edition of 100)",V2: 164,Very high,CORE
2,Roni Horn,To Place - Book IV: Pooling Waters Volume 1 (Photographs),1994,"Walther König, Cologne, 1994 (special edition of 6)",V2: 164,Very high,CORE
2,Roni Horn,To Place - Book IV: Pooling Waters Volume 2 (Text),1994,"Walther König, Cologne, 1994 (special edition of 6)",V2: 165,Very high,CORE
2,Roni Horn,To Place - Book V: Verne's Journey,1995,"Walther Konig, Cologne, 1995",V2: 164,Very high,CORE
2,Roni Horn,To Place - Book VI: Haraldsdóttir,1996,"Ginny Williams, Denver, Colorado, 1996 (special edition of 100)",V2: 164,Very high,CORE
2,Roni Horn,To Place - Book VII: Arctic Circles,1998,"Ginny Williams, Denver, Colorado, 1998",V2: 165,Very high,CORE
2,Roni Horn,To Place - Book VIII: Becoming a Landscape,2001,"Ginny Williams, Denver, Colorado, 2001 (edition of 900, special edition of 100)",V2: 165,Very high,CORE
2,Roni Horn,To Place - Supplement: Inner Geography,1994,"Walther König, Cologne, 1994",V2: 165,Very high,CORE
2,Roy DeCarava,The Sound I Saw,2001,"Phaidon Press, London, 2001",V2: 19,Very high,CORE
1,"Roy, Claude / Strand, Paul",La France de profil,,,V1: 207,High provisional,CORE
2,Rudolf Schäfer,Der Ewige Schlaf,1989,"Kellner Verlag, Hamburg, 1989",V2: 270,Very high,CORE
3,Ryan McGinley,The Kids Are Alright,2000,,,Very high,CORE
2,Ryuji Miyamoto,Kobe 1995,1995,"Telescope/Workshop for Architecture and Urbanism, Tokyo, 1995",V2: 276,Very high,CORE
1,"Salomon, Erich",Berühmte Zeitgenossen in unbewachten Augenblicken,,,V1: 131,High provisional,CORE
3,Salvador Costa,Punk,1977,Producciones Editoriales / Star Book,V3: 220,High,CORE
1,"Salzmann, Auguste",Jérusalem,,,V1: 25,High provisional,CORE
1,"Sander, August",Antlitz der Zeit,,,V1: 124,High provisional,CORE
3,Sanja Iveković,tragedy of a venus 1975,,,,High,CORE
1,"Sannes, Sanne",Sex a Gogo,,,V1: 227,High provisional,CORE
1,"Sannes, Sanne",The Face of Love,,,V1: 192,Medium provisional,BROAD
3,Sara Blokland,Police Band of Suriname / book title to verify,2010,Van Zoetendaal Publishers,V3: 130,Medium,BROAD
1,"Sedgfield, William Russell","Photographic Delineations of the Scenery, Architecture and Antiquities of Great Britain",,,V1: 62-3,Medium provisional,BROAD
2,Serge Klarsfeld,French Children of the Holocaust,1996; 1994,"New York University Press, New York, 1996 (first published as Le Memorial des enfants juifs déportés de France by Fayard, Paris, 1994)",V2: 226,Very high,CORE
2,Sergio Larrain,El Rectángulo en la mano (The Rectangle in the Hand),1963,"Cadernos Brasileiros, Santiago, 1963",V2: 102,Very high,CORE
2,Sergio Larraín,Valparaiso,1991,"Éditions Hazan, Paris, 1991",V2: 102,Very high,CORE
1,"Seymour, Daniel",A Loud Song,,,V1: 237,Medium provisional,BROAD
1,"Shinoyama, Kishin",Hareta Hi,,,V1: 303,High provisional,CORE
3,Shinro Ohtake,UK77: Digging my way to London,2004/2007,Getsuyosha,V3: 258,Medium,BROAD
2,Shirana Shahbazı,Goftare Nik,2001,"Codax Publisher, Zurich, 2001",V2: 128,Very high,CORE
1,"Simmons, Owen",The Book of Bread,,,V1: 56,High provisional,CORE
3,Simon Roberts,We English,2009,Chris Boot,,High,CORE
1,"Siskind, Aaron",Aaron Siskind Photographs,,,V1: 250,High provisional,CORE
2,Slim Aarons,A Wonderful Time,1974,"Harper and Row, New York, 1974",V2: 20,Very high,CORE
1,"Smith, Adolphe / Thomson, John",Street Life in London,,,V1: 48,High provisional,CORE
1,"Smith, G Elliot",The Royal Mummies,,,V1: 58,High provisional,CORE
2,Sol LeWitt,Autobiography,1980,"Multiples, New York, and Lois and Michael K Torf, Boston, 1980",V2: 155,Very high,CORE
2,Sophie Calle,La Fille du docteur,1991,"Thea Westreich, New York, 1991 (edition of 250)",V2: 167,Very high,CORE
3,Sophie Calle,"Rachel, Monique...",,,,High,CORE
2,Sophie Ristelhueber,Fait: Koweit 1991 (Fact: Kuwait 1991),1992,"Éditions Hazan, Paris, 1992",V2: 168,Very high,CORE
1,"Sougez, Emmanuel",Regarde!,,,V1: 102,High provisional,CORE
1,"Steichen, Edward",The First Picture Book,,,V1: 102,Medium provisional,BROAD
1,"Steinert, Dr Otto",Subjektive Fotografie,,,V1: 205,High provisional,CORE
3,Stephanie Saia / Phyllis Prinz,Private Moments in Public Places,1979,,,High,CORE
2,Stephen Gill,Hackney Wick,2005,"Nobody, in association with the Archive of Modern Conflict, London, 2005",V2: 324,Very high,CORE
3,Stephen Shore,A Road Trip Journal,2009,,,Medium,BROAD
2,Stephen Shore,American Surfaces,2005,"Phaidon Press, London, 2005",V2: 295,Very high,CORE
2,Stephen Shore,Uncommon Places,1982,"Aperture, Millerton, New York, 1982",V2: 35,Very high,CORE
1,"Stewart, John",Souvenir des pyrénées,,,V1: 16,Medium provisional,BROAD
1,"Stieglitz, Alfred",Camera Work,,,V1: 8,Medium provisional,BROAD
1,"Stillman, William J.",The Acropolis of Athens,,,V1: 68,High provisional,CORE
1,"Stone, Sir Benjamin",Sir Benjamin Stone's Pictures,,,V1: 57,High provisional,CORE
1,"Strand, Paul",Time in New England,,,V1: 207,Medium provisional,BROAD
1,"Strömholm, Christer",Poste Restante,,,V1: 251,High provisional,CORE
1,"Sudek, Josef",Praha panoramatická,,,V1: 211,High provisional,CORE
1,"Sugimoto, Hiroshi",Sea of Buddha,,,V1: 308-9,High provisional,CORE
1,"Sugimoto, Hiroshi",Theaters,,,V1: 308-9,High provisional,CORE
1,"Sugimoto, Hiroshi",Time Exposed,,,V1: 308-9,High provisional,CORE
3,Susan Hiller,The J Street Project,2005,The Compton Verney / DAAD,,High,CORE
3,Susan Lipper,Grapevine,,,,High,CORE
2,Susan Meiselas,Nicaragua,1981,"Pantheon Books, New York, 1981",V2: 252,Very high,CORE
2,Tacita Dean,Floh (Flea),2001,"Steidl, Göttingen, 2001",V2: 231,Very high,CORE
2,Tadanori Yokoo,Waterfall Rapture,1996,"Shinchosha, Tokyo, 1996",V2: 224,Very high,CORE
3,Tadao Mitome,Sanrizuka - Moeru Hokuso Daichi / Document 1966-71,1971,Shinsensha,V3: 57,Medium,BROAD
3,Taiyo Onorato & Nico Krebs,The Great Unreal,2009,Edition Patrick Frey,,High,CORE
1,"Takanashi, Yutaka",Toshi-e,,,V1: 302,High provisional,CORE
1,"Takase, Yoshio",Benjo,,,V1: 296,High provisional,CORE
2,Takashi Homma,Tokyo Suburbia,1998,"Korinsha Press, Kyoto, 1998",V2: 307,Very high,CORE
1,"Talbot, William Henry Fox",The Pencil of Nature,,,V1: 22,High provisional,CORE
1,"Tal’, B M",Industriya Sotzializma,,,V1: 160-3,High provisional,CORE
3,Tamiko Nishimura,Shikishima,,,,High,CORE
1,"Tandit, L",XV Let Kazakhsko: ASSR,,,V1: 156-7,High provisional,CORE
3,Tano d'Amico,E il '77,1978,,,Very high,CORE
3,Tenmei Kanoh,Fuck,1970,Jitusgyounoni Honsha / Holiday Graphics,,High,CORE
2,Terri Weifenbach,In Your Dreams,1997,"Nazraeli Press, Portland, Oregon, 1997 (edition of 500)",V2: 44,Very high,CORE
2,Terry Richardson,Hysteric Glamour,1998,"Hysteric Glamour, Tokyo, 1998",V2: 48,Very high,CORE
1,"Teynard, Félix",Egypte et nubie,,,V1: 27,High provisional,CORE
2,"Theo Baart, Cary Markerink and Tracy Metz",Snelweg: Highways in the Netherlands,1996,"Ideas on Paper Foundation, Amsterdam, 1996",V2: 82,Very high,CORE
2,Thomas Struth,Museum Photographs,1993,"Schirmer/Mosel, Munich, 1993",V2: 273,Very high,CORE
1,"Thomson, John",Foochow and the River Min,,,V1: 32,High provisional,CORE
1,"Thomson, John",Illustrations of China and its People,,,V1: 32,Medium provisional,BROAD
3,Tiane Doan na Champassak,The King of Photography,2011,Self published,V3: 293,High,CORE
1,"Tmej, Zdenek",ABECEDA: Duševního prázdna,,,V1: 198-9,High provisional,CORE
2,Tom Wood,All Zones Off Peak,1998,"Dewi Lewis Publishing, Stockport, 1998",V2: 308,Very high,CORE
1,"Tomatsu, Shomei",11.02 Nagasaki,,,"V1: 4, 276-7",High provisional,CORE
1,"Tomatsu, Shomei",OO! Shinjuku,,,V1: 290,High provisional,CORE
3,Tomoyuki Sakaguchi,home,,,,High,CORE
3,Trine Søndergaard,Now That You Are Mine,,,,High,CORE
1,"Tripe, Captain Linnaeus",Photographic Views in Madura,,,V1: 26,High provisional,CORE
1,"Tuggener, Jak",Fabrik,,,V1: 144,High provisional,CORE
1,"Tursunkhodzhaey, M",10 Let Uzbekistana SSR,,,V1: 158-9,High provisional,CORE
1,"Ulmann, Doris","Roll, Jordan, Rol!",,,V1: 135,High provisional,CORE
2,Ulrich Tillmann and Wolfgang Vollmer,Meisterwerke der Fotokunst,1985,"Wienand Verlag, Cologne, 1985",V2: 162,Very high,CORE
3,Valerio Spada,Gomorrah Girl,2011,Cross Editions,V3: 136,Medium,BROAD
1,"van der Elsken, Ed",Een Liefdesgeschiedenis in Saint Germain des Prés,,,V1: 245,High provisional,CORE
1,"van der Elsken, Ed",Jazz,,,V1: 246,High provisional,CORE
1,"van der Elsken, Ed",Sweet Life,,,V1: 254-5,High provisional,CORE
1,"van der Keuken, Johan (Joan)",Achter Glas,,,"V1: 2-3, 244",High provisional,CORE
1,"van der Keuken, Johan (Joan)",Paris mortel,,,V1: 248-9,High provisional,CORE
1,"van der Keuken, Johan (Joan)",Wij zijn 17,,,V1: 244,High provisional,CORE
3,Various,10.21 to ha Nanika / What is 10.21?,1969,'10.21 Towa Nanika' Publishing Committee,V3: 59,High,CORE
2,Various photographers,'Brycha' 1945-1948: Home-Through the 'Vale of Tears',1949,"Ha-Berihah, Tel Aviv, 1949",V2: 243,Very high,CORE
2,Various photographers,1999 The Quake,1999,"Preparatory Committee for Photo Book Sales to Benefit People Affected by the September 21 1999 Earthquake, Taipei, 1999",V2: 123,Very high,CORE
2,Various photographers,México y su evolucion económica (Mexico and its Economic Evolution),1952,"Moviemiento económico nacional and Editorial 'Arquitectura y lo Demás, Mexico City, 1952",V2: 99,Very high,CORE
3,Various photographers,"Nein, Onkel",2007,Archive of Modern Conflict,,High,CORE
2,Various photographers,The Extermination of Polish Jewry: Album of Pictures,1945,"Centralna Zydowska Komisja Historyczna w Polsce, Lodz,1945",V2: 214,Very high,CORE
1,"Ver, Mai (Moshé Raviv-Vorobeichic)",Ein Ghetto im Osten (Wilna),,,V1: 130,High provisional,CORE
1,"Vigier, Viscount",Album des pyrénées,,,V1: 16,Medium provisional,BROAD
3,Viviane Sassen,Flamboya,2008,Contrasto,,High,CORE
2,Volker Heinze,Ahnung,1989,"Dirk Nishen, Berlin, 1989 (edition of 800)",V2: 66,Very high,CORE
2,Walter Niedermayr,Reservate des Augenblicks/Momentary Resorts,1998,"Hatje Cantz, Ostfildern-Ruit, 1998",V2: 280,Very high,CORE
3,Watabe Yukichi,A Criminal Investigation,2012,Editions Xavier Barral / LE BAL,,High,CORE
1,"Watkins, Carleton E / Whitney, Josiah Dwight",The Yosemite Book,,,"V1: 13, 30",High provisional,CORE
1,Weegee,Naked City,,,V1: 145,High provisional,CORE
2,Wendy Ewald,Portraits and Dreams,1985,"by children of the Appalachians Writers and Readers Publishing, New York, 1985",V2: 223,Very high,CORE
1,"Wessing, Koen","Chili, September 1973",,,V1: 229,High provisional,CORE
1,"Weston, Edward",The Art of Edward Weston,,,V1: 8,Medium provisional,BROAD
2,Will McBride,Show Me!,1975; 1974,"St Martin's Press, New York, 1975 (first published as Zeig mal! by Jugenddienst Verlag, Berlin, 1974)",V2: 26,Very high,CORE
2,William Eggleston,African Realty Trust (Pty) Limited,1991,"Hanover Acceptances Group, in association with A J Vines, London, 1991",V2: 201,Very high,CORE
2,William Eggleston,Inside the House of Hanover,1991,"Hanover Acceptances Group, in association with A J Vines, London, 1991",V2: 200,Very high,CORE
1,"Winogrand, Garry",The Animals,,,V1: 257,High provisional,CORE
2,Wolfgang Schmidt,Oh Ihr Verdammten Arschlocher,1972,"(Oh You Bloody Arseholes) Verlag Wendelin Niedlich, Stuttgart, 1972",V2: 148,Very high,CORE
2,Wolfgang Tillmans,Concorde,1997,"Walther König, Cologne, 1997",V2: 170,Very high,CORE
2,Xu Yong,Xiaofangjia Hutong,2003,"China Photography Publishing House, Beijing, 2003",V2: 125,Very high,CORE
3,Yasuhiko Uchihara,Son of a bit,2007,Seigensha,,High,CORE
3,Yoshikazu Suzuki / Shohachi Kimura,Ginza Kaiwai / Ginza Haccho,1954,Toho-Shuppan Publishing,,Very high,CORE
3,Yves Marchand & Romain Meffre,The Ruins of Detroit,2010,Steidl,,High,CORE
1,"Éluard, Paul",Facile,,,V1: 104-5,High provisional,CORE
1,"Štyrský, Jindřich",Emile prichdzi ke mné ve snu,,,V1: 103,High provisional,CORE
1,"Štyrský, Jindřich",Na jehlach téchto dni,,,V1: 197,Medium provisional,BROAD
