Volumes,Contributor,Title,Year,Publisher,PB page / refs,Best confidence,Search tier
3,Anouk Kruithof,Lang Zal Ze Leven / Happy Birthday To You,2011,Self published,,Medium,BROAD
3,Antoine d'Agata,Stigma,,,,High,CORE
1,"Araki, Nobuyoshi",A Winter Journey,,,V1: 307,Medium provisional,BROAD
1,"Araki, Nobuyoshi",Senchimentaru na Tabi,,,V1: 295,High provisional,CORE
1,"Araki, Nobuyoshi",Shokuji,,,V1: 307,High provisional,CORE
1,"Araki, Nobuyoshi",Tokyo Lucky Hole,,,V1: 307,High provisional,CORE
1,"Araki, Nobuyoshi",Zerokkusu Shashincho 24,,,V1: 294,High provisional,CORE
1,"Arbus, Diane",Diane Arbus,,,V1: 258-9,High provisional,CORE
3,Arianna Arcara & Luca Santese,Found Photos in Detroit,2012,Cesura,,Very high,CORE
2,Armando Salas Portugal,Fotografía del pensamiento (?) (Photography of Thought?),1968,"Editorial Orion, Mexico City, 1968",V2: 105,Very high,CORE
1,"Atkins, Anna",Photographs of British Algae,,,V1: 20-1,High provisional,CORE
1,"Attali, Marc / Delfau, Jacques",Les Erotiques du regard,,,V1: 226,High provisional,CORE
1,"Avedon, Richard / Baldwin, James",Nothing Personal,,,V1: 252,High provisional,CORE
2,Axel Hütte,London,1993,"Schirmer/Mosel, Munich, 1993",V2: 274,Very high,CORE
1,"Baevsky, I / Bogovy, I / Mekhlis, L / Verite, I",Geroicheskaya Epopeya,,,V1: 164,High provisional,CORE
2,Barbara Schulten,Madaus: Eine aufgeschlossene Firma (Madaus: An Innovative Company),1969,"Dr Madaus & Co, Cologne, 1969",V2: 196,Very high,CORE
1,"Barnard, George N",Photographic Views of Sherman's Campaign,,,V1: 45,High provisional,CORE
2,Bart Sorgedrager,Mensenstroom,1997,"GKN Holland, Amsterdam, 1997",V2: 202,Very high,CORE
1,"Beard, Richard",London Labour,,,V1: 40,Medium provisional,BROAD
1,"Becher, Bernd and Hilla",Anonyme Skulpturen,,,V1: 193,Medium provisional,BROAD
1,"Bellmer, Hans",La Poupée,,,V1: 106,High provisional,CORE
1,"Bellmer, Hans",Les Jeux de la poupée,,,V1: 107,High provisional,CORE
1,"Berghaus, Erwin",USA - nackt!,,,V1: 180-1,High provisional,CORE
2,"Bernard Latarjet and François Hers, eds",Paysages Photographies,1985,"(Landscape Photographs The Photographic Mission of DATAR) Éditions Hazan, Paris, 1985",V2: 61,Very high,CORE
2,Bernd and Hilla Becher,Blast Furnaces,1990,"MIT Press, Cambridge, Massachusetts, 1990 (also published by Schirmer/Mosel, Munich)",V2: 268,Very high,CORE
2,Bernd and Hilla Becher,Mineheads,1997,"MIT Press, Cambridge, Massachusetts, 1997 (also published by Schirmer/Mosel, Munich)",V2: 269,Very high,CORE
2,Bernd and Hilla Becher,Pennsylvania Coal Mine Tipples,1991,"DIA Center for the Arts, New York, 1991",V2: 269,Very high,CORE
2,Bernd and Hilla Becher,Water Towers,1989,"MIT Press Cambridge, Massachusetts, 1989 (also published by Schirmer/Mosel, Munich)",V2: 268,Very high,CORE
2,Bernhard (Bernd) and Hilla Becher,Anonyme Skulpturen,1970,"(Anonymous Sculptures: A Typology of Technical Buildings) Art-Press Verlag, Düsseldorf, 1970",V2: 266,Very high,CORE
2,Bertien van Manen,"A hundred summers, a hundred winters",1994,"De Verbeelding, Amsterdam, 1994",V2: 76,Very high,CORE
3,Bertolt Brecht,Kriegsfibel,1955,Eulenspiegel Verlag,,High,CORE
2,Bill Burke,I Want To Take Picture,1987,"Nexus Press, Atlanta, Georgia, 1987",V2: 41,Very high,CORE
2,Bill Owens,Suburbia,1973,"Straight Arrow, San Francisco, California, 1973",V2: 24,Very high,CORE
3,Billy Monk,Billy Monk,,,,High,CORE
1,"Bischof, Werner",indiens pas mort,,,V1: 190,Medium provisional,BROAD
1,"Blossfeldt, Karl",Urformen der Kunst,,,V1: 96,High provisional,CORE
1,"Boldizsar, Ivan",Tibore,,,V1: 140,High provisional,CORE
2,Boris Mihailov (Mikhailov),Am Boden/By the Ground/u Zemli,1996,"Oktagon Verlag, Cologne, 1996 6. Михайлов Die Dämmerung At Dusk Сумерки",V2: 77,Very high,CORE
2,Boris Mihailov (Mikhailov),Die Dämmerung/At Dusk/Sumerki,1996,"Oktagon Verlag, Cologne, 1996",V2: 77,Very high,CORE
2,Boris Mikhailov,Case History,1999,"Scalo, Zurich, 1999",V2: 309,Very high,CORE
1,"Bourke-White, Margaret",Eyes on Russia,,,"V1: 123, 174",Medium provisional,BROAD
1,"Bourke-White, Margaret / Caldwell, Erskine",You Have Seen Their Faces,,,V1: 140-1,High provisional,CORE
1,"Bourneville, Désiré / Regnard, Paul",Iconographie photographique de la Salpêtrière,,,V1: 50,Medium provisional,BROAD
1,"Bradford, William",The Arctic Regions,,,V1: 31,High provisional,CORE
1,"Bragaglia, Anton Giulio",Fotodinamismo futurista,,,V1: 90,High provisional,CORE
1,"Brandt, Bill",A Night in London,,,V1: 138,High provisional,CORE
1,"Brandt, Bill",Perspective of Nudes,,,V1: 216,High provisional,CORE
1,"Brandt, Bill",The English at Home,,,V1: 138,High provisional,CORE
1,Brassaï,Séville en fête,,,V1: 180,Medium provisional,BROAD
1,Brassaï,The Secret Paris of the Thirties,,,V1: 134,Medium provisional,BROAD
1,Brassaï,Voluptés de paris,,,V1: 134,Medium provisional,BROAD
1,"Brassaï / Morand, Paul",Paris de nuit,,,V1: 134,High provisional,CORE
2,Brian Griffin,Open: Twenty-one photographs by Brian Griffin,1988,"Black Pudding, London, 1988 (edition of 350)",V2: 68,Very high,CORE
1,"Brodovitch, Alexey",Ballet,,,V1: 240-1,High provisional,CORE
2,Bruce Bernard,"Century: One Hundred Years of Human Progress, Regression, Suffering and Hope",1999,"Phaidon Press, London, 1999",V2: 229,Very high,CORE
2,Bruce Davidson,East 100th Street,1970,"Harvard University Press, Cambridge, Massachusetts, 1970",V2: 18,Very high,CORE
2,Bruce Gilden,Go,2000,"Arctic, London, 2000",V2: 310,Very high,CORE
1,"Bruehl, Anton",Mexico,,,V1: 81,High provisional,CORE
3,Bruno Ceschel (ed.),"Self Publish, Be Naughty",2011,"Self Publish, Be Happy",,Very high,CORE
3,Bun'yo Ishikawa,Chien Tranh Giai Phong Viet Nam,1977,,V3: 195,High,CORE
1,"Burri, René",Die Deutschen,,,V1: 218,High provisional,CORE
1,"Burri, René",Les Allemands,,,"V1: 190, 218",Medium provisional,BROAD
3,Burton Yost Berry,Teenage Styles and Trends 1967-71: A Retrospect,1972,Privately published,V3: 80,High,CORE
1,"Cahun, Claude / Deharme, Lise",Le Coeur de pic,,,V1: 108,High provisional,CORE
1,"Callahan, Harry",Water's Edge,,,V1: 310,Medium provisional,BROAD
1,"Cameron, Julia Margaret",Idylls of the King,,,V1: 69,High provisional,CORE
1,"Capa, Robert",Death in the Making,,,V1: 139,High provisional,CORE
2,Carl De Keyzer,Zona: Siberian Prison Camps,2002,"Trolley, London, 2002",V2: 319,Very high,CORE
3,Carlos Guimaraes,Resistencia Popular Generalizada,1977,Angola Ministry of Information,V3: 41,Medium,BROAD
1,"Carmi, Lisetta",I Travestiti,,,V1: 228,High provisional,CORE
1,"Carpenter, James / Nasmyth, James","The Moon: Considered as a Planet, a World, and a Satellite",,,"V1: 35, 51",High provisional,CORE
1,"Carrieri, Mario","Milano, Italia",,,V1: 214,Medium provisional,BROAD
2,"Carroll Tankersley, ed",Greyhound 1963,1963,"Knox City High School, Knox City, Texas, 1963",V2: 192,Very high,CORE
1,"Cartensen, Pay Christian / Hitzer, Hans / Richter, Friedrich",Deutschland,,,V1: 176-7,High provisional,CORE
1,"Cartier-Bresson, Henri",Les Danses a bali,,,V1: 190,Medium provisional,BROAD
1,"Cartier-Bresson, Henri",The Decisive Moment,,,V1: 208-9,High provisional,CORE
1,"Cartier-Bresson, Henri",The Europeans,,,V1: 208-9,High provisional,CORE
1,"Cela, Camilo José / Colom, Joan","Izas, rabizas y colipoterras",,,"V1: 221, 220-1",High provisional,CORE
1,"Cela, Camilo José / Maspons, Oriol / Ubiña, Julio",Toreo de salón,,,V1: 220,High provisional,CORE
1,"Cendrars, Blaise / Doisneau, Robert",La Banlieue de paris,,,"V1: 187, 201",High provisional,CORE
1,"Charbonnier, Jean-Philippe",Chemins de la vie,,,V1: 210,High provisional,CORE
1,Chargesheimer,Köln 5 Uhr 30,,,V1: 223,High provisional,CORE
1,"Charnay, Claude-Joseph-Louis-Désiré",Cités et ruines américaines,,,V1: 29,High provisional,CORE
2,Chauncey Hare,Interior America,1978,"Aperture, Millerton, New York, 1978",V2: 23,Very high,CORE
2,Chris Killip,In Flagrante,1988,"Martin Secker and Warburg, London, 1988",V2: 299,Very high,CORE
2,Christian Boltanski,Inventaire des objets ayant appartenu à une femme de Bois-Colombes,1974,"(Inventory of Objects Which Belonged to a Woman of Bois-Colombes) Centre national d'art contemporain, Paris, 1974",V2: 154,Very high,CORE
2,Christian Boltanski,Kaddish,1998,"Éditions des musées/Paris musées, in association with Gina Kehayoff Verlag, Munich, 1998",V2: 173,Very high,CORE
3,Christian Patterson,Redheaded Peckerwood,2011,MACK,,Very high,CORE
2,Christien Meindertsma,Checked Baggage,2004,"Soeps Uitgeverij, Eindhoven, 2004",V2: 287,Very high,CORE
2,Cindy Sherman,Untitled Film Stills,1990,"Schirmer/Mosel, Munich and Rizzoli, New York, 1990",V2: 42,Very high,CORE
1,"Clark, Larry",Teenage Lust,,,V1: 260,Medium provisional,BROAD
1,"Clark, Larry",Tulsa,,,V1: 260,High provisional,CORE
3,Claudia Andujar & George Love,Amazônia,1978,Editora Praxis,,High,CORE
1,"Clercq, Louis de",Voyage en orient,,,V1: 27,High provisional,CORE
1,"Clergue, Lucien",Corps mémorables,,,V1: 192-3,Medium provisional,BROAD
1,"Clergue, Lucien",Toros muertos,,,V1: 219,High provisional,CORE
1,"Coburn, Alvin Langdon",London,,,"V1: 64, 74",Medium provisional,BROAD
1,"Coburn, Alvin Langdon",New York,,,V1: 74,High provisional,CORE
1,"Cocteau, Jean / Jahan, Pierre",La Mort et les statues,,,V1: 194-5,High provisional,CORE
1,"Coppens, Martien",Impressies 1945,,,V1: 195,High provisional,CORE
3,Cristina de Middel,The Afronauts,2012,Self published,,High,CORE
2,"Cristina Faesler Bremer, ed",ABCDF: Diccionario gráfico de la ciudad de México (ABCDF: Graphic Dictionary of Mexico City),2001,"Fundación Televisa and Editorial Diamantina, Mexico City, 2001",V2: 124,Very high,CORE
2,Cuny Janssen,Macedonia,2004,"Schaden com, Cologne, 2004",V2: 87,Very high,CORE
1,"Curtis, Edward S",The North American Indian,,,V1: 73,High provisional,CORE
2,Dag Alveng,Asylum,1986,"Koks Forlag, in cooperation with Preus Fotomuseum, Oslo, 1986",V2: 298,Very high,CORE
2,Daniela Rossell,Ricas y famosas,2002,"Turner Publicaciones, Madrid, 2002",V2: 321,Very high,CORE
2,Danny Lyon,Conversations with the Dead,1971,"Holt, Rinehart and Winston, New York, 1971",V2: 19,Very high,CORE
3,Dash Snow,Gang Bang at Ground Zero,2007,Self published,V3: 100,Medium,BROAD
2,Dave Heath,A Dialogue With Solitude,1965,"The Community Press, Culpeper, Virginia, 1965",V2: 104,Very high,CORE
3,David Alan Harvey,(based on a true story),2012,BurnBooks,V3: 141,High,CORE
2,David Douglas Duncan,I Protest!,1968,"Signet Books, New York, 1968",V2: 248,Very high,CORE
3,David Galjaard,Concresco,2012,Self published,,High,CORE
2,David Goldblatt,In Boksburg,1982,"The Gallery Press, Cape Town, 1982",V2: 115,Very high,CORE
2,David Goldblatt,Particulars,2003,"Goodman Gallery Editions, Johannesburg, 2003 (edition of 500)",V2: 115,Very high,CORE
1,"Davidson, Basil / Strand, Paul",Tir A Mhurain: Outer Hebrides,,,V1: 217,High provisional,CORE
1,"Davis, Theodore M",The Tombs of Harmhabi and Touatânkhamanou,,,V1: 59,Medium provisional,BROAD
2,Dayanita Singh,Privacy,2003,"Staatliche Museen zu Berlin - Preußischer Kulturbesitz and Steidl, Göttingen, 2003",V2: 125,Very high,CORE
3,Dayanita Singh,Sent a Letter,2007,Steidl,V3: 264,Medium,BROAD
1,"DeCarava, Roy / Hughes, Langston",The Sweet Flypaper of Life,,,V1: 242,High provisional,CORE
1,"Delamotte, Philip Henry","Photographic Views of the Progress of the Crystal Palace, Sydenham",,,V1: 42,High provisional,CORE
1,"Delamotte, Philip Henry",The Sunbeam,,,"V1: 61, 66",High provisional,CORE
2,Dick Jewell,Found Photos,1981; 1977,"Dick Jewell, London, 1981 (2nd edition; first published in 1977)",V2: 222,Very high,CORE
2,Dieter Graf,Point It,2004; 1992,"Graf Editions, Munich, 2004 (11th edition; first published in 1992)",V2: 233,Very high,CORE
3,Dirk Alvermann,Algerien / L’algérie,1960,Rütten & Loening,,High,CORE
2,Dirk Braeckman,z.Z(t).,1998,"Ludion, Ghent, 1998",V2: 307,Very high,CORE
1,"Doisneau, Robert",Les Parisiens tels qu’ils sont,,,V1: 190,Medium provisional,BROAD
1,"Domon, Ken",Chikuho no Kodomotachi,,,V1: 278,High provisional,CORE
1,"Domon, Ken",Hiroshima,,,V1: 274-5,High provisional,CORE
1,"Domon, Ken",Tumie chan wa Otosan ga Shinda,,,V1: 278,Medium provisional,BROAD
1,"Domon, Ken / Tomatsu, Shomei",Hiroshima-Nagasaki Document 1961,,,V1: 274-5,High provisional,CORE
2,Donald McCullin,The Destruction Business,1971,"Open Gate, London, 1971",V2: 249,Very high,CORE
