Record ID,Contributor,Contributor aliases,Title,Title aliases,Year,Publisher,ISBN,Canon sources,Collectibility tier,Search priority,First edition notes,Strong buy GBP,Bargain GBP,Evidence confidence,Source,Search tier,Collector profile,Documentary relevance,First monograph,Collectible variants,Special edition priority,Awards and evidence,Unicorn tier,Radar query,Radar notes
stromholm-poste-restante-1967,Christer Strömholm,Christer Stromholm,Poste Restante,,1967,P. A. Norstedt & Söners,,Pre-1970 Unicorn Radar | Parr/Badger,S,0,Target the 1967 Swedish first edition in black cloth with original white photo-illustrated dust jacket.,,,HIGH,Parr/Badger and Strömholm Estate,CORE,street | travel | marginal lives | diary,HIGH,,Original photographic dust jacket,HIGH,,A,Stromholm Poste Restante,Distinguish modern facsimile editions.
elsken-sweet-life-1966,Ed van der Elsken,Ed Van Der Elsken,Sweet Life,,1966,De Bezige Bij,,Pre-1970 Unicorn Radar | Parr/Badger,S,0,Target the 1966 first edition and verify all original components and jacket/cover state.,,,HIGH,Parr/Badger and collector curation,CORE,humanist documentary | travel | street | people,HIGH,,Complete first edition,HIGH,,A,Ed van der Elsken Sweet Life,Major Van der Elsken target.
lyon-bikeriders-1968,Danny Lyon,,The Bikeriders,Bikeriders,1968,Macmillan,,Pre-1970 Unicorn Radar | Roth 101 | Parr/Badger,S,0,Target the 1968 first edition in black cloth with original photographic dust jacket.,,,HIGH,Roth 101 and collector curation,CORE,American documentary | subculture | community,HIGH,,Original dust jacket,HIGH,,A,Danny Lyon Bikeriders,"True 1968 first, not Aperture reissues."
ernest-cole-house-bondage-1967,Ernest Cole,,House of Bondage,,1967,Random House,,Pre-1970 Unicorn Radar | Parr/Badger,S,0,Target the 1967 first edition with original dust jacket; verify publication issue and condition.,,,HIGH,Parr/Badger and collector curation,CORE,social documentary | apartheid | South Africa,HIGH,,Original dust jacket,HIGH,,A,Ernest Cole House Bondage,First-edition issue identification matters.
vanderkeuken-paris-mortel-1963,Johan van der Keuken,Joan van der Keuken,Paris Mortel,,1963,,,Pre-1970 Unicorn Radar | Parr/Badger,S,0,Target the original 1963 first edition; verify complete original binding and any jacket/wrapper components.,,,HIGH,Parr/Badger and collector curation,CORE,street | Paris | personal documentary,HIGH,,Complete original first edition,HIGH,,A,van der Keuken Paris Mortel,Scarce early Van der Keuken.
tomatsu-1102-nagasaki-1966,Shomei Tomatsu,Tōmatsu Shōmei | Tomatsu Shomei,11:02 Nagasaki,11.02 Nagasaki | 11 ji 02 fun Nagasaki | 11時02分 Nagasaki,1966,Shashin Dojinsha,,Pre-1970 Unicorn Radar | Parr/Badger,S,0,Target the 1966 first edition. Distinguish the later Shaken issue made from remaining stock after the original publisher collapsed.,,,HIGH,"British Museum, Met and collector curation",CORE,Japanese documentary | postwar | Nagasaki,HIGH,,Original first issue; slipcover,HIGH,,A,Tomatsu 11 02 Nagasaki,First Shashin Dojinsha issue preferred.
ruscha-sunset-strip-1966,Ed Ruscha,Edward Ruscha,Every Building on the Sunset Strip,Sunset Strip,1966,Edward Ruscha,,Pre-1970 Unicorn Radar | Roth 101 | Parr/Badger,S,0,"Target the 1966 first edition, approximately 1,000 copies, with accordion-fold book, silver slipcase and white belly band.",,,HIGH,Roth 101 and collector curation,CORE,conceptual documentary | vernacular | urban,MEDIUM,,Silver slipcase; belly band,HIGH,,A,Ruscha Sunset Strip,First-edition housing is crucial.
groebli-rail-magic-1949,René Groebli,Rene Groebli,Magie der Schiene,Rail Magic,1949,Kubus-Verlag,,Pre-1970 Unicorn Radar,S,0,"Target the 1949 first edition of 1,000 numbered copies, retaining the original illustrated portfolio and belly band where present.",,,HIGH,Swiss photobook bibliography and collector curation,CORE,travel documentary | railway | movement,MEDIUM,,Numbered issue; portfolio; belly band,HIGH,,A,Groebli Magie der Schiene,Numbered original only.
groebli-eye-love-1954,René Groebli,Rene Groebli,Das Auge der Liebe,The Eye of Love,1954,Turnus Verlag,,Pre-1970 Unicorn Radar,S,0,Target the 1954 first edition with original dust jacket/glassine where present.,,,HIGH,Swiss photobook bibliography and collector curation,CORE,intimate documentary | couple | travel,HIGH,,Original jacket/glassine,HIGH,,A,Groebli Auge der Liebe,Original 1954 issue only.
coppola-buenos-aires-1936,Horacio Coppola,,Buenos Aires,,1936,Municipalidad de Buenos Aires,,Pre-1970 Unicorn Radar | Parr/Badger,S,0,Target the 1936 municipal first edition; distinguish the 1937 second edition.,,,HIGH,Parr/Badger and collector curation,CORE,urban documentary | modernism | Buenos Aires,HIGH,,1936 first edition,HIGH,,A,Horacio Coppola Buenos Aires,1936 issue is the priority.
elsken-jazz-1959,Ed van der Elsken,Ed Van Der Elsken,Jazz,,1959,De Bezige Bij,,Pre-1970 Unicorn Radar | Roth 101 | Parr/Badger,S,0,Target the 1959 first edition in original photographically illustrated laminated boards.,,,HIGH,Roth 101 and collector curation,CORE,music documentary | nightlife | performance,HIGH,,Original laminated boards,HIGH,,A,Ed van der Elsken Jazz,Original 1959 issue.
brandt-english-home-1936,Bill Brandt,,The English at Home,,1936,Batsford,,Pre-1970 Unicorn Radar | Roth 101 | Parr/Badger,S,1,Target the 1936 first edition in illustrated laminated boards; original glassine jacket is a major bonus.,,,HIGH,Roth 101 and collector curation,CORE,British social documentary | class | home,HIGH,,Original glassine,MEDIUM,,B,Bill Brandt English at Home,"Collectible even without glassine, but price accordingly."
frank-americans-1959,Robert Frank,,The Americans,,1959,Grove Press,,Pre-1970 Unicorn Radar | Roth 101 | Parr/Badger,S,1,Target the 1959 first American edition in black cloth with original photographic dust jacket.,,,HIGH,Roth 101 and collector curation,CORE,American documentary | street,HIGH,,Original dust jacket,MEDIUM,,B,Robert Frank The Americans,"US first, separate from 1958 Delpire grail."
klein-new-york-1956,William Klein,,Life Is Good & Good for You in New York,New York | Life Is Good and Good for You in New York,1956,Éditions du Seuil,,Pre-1970 Unicorn Radar | Roth 101 | Parr/Badger,S,1,Target the 1956 first edition with original illustrated dust jacket and laid-in French illustration pamphlet.,,,HIGH,Roth 101 and collector curation,CORE,street | New York | urban documentary,HIGH,,Dust jacket; laid-in pamphlet,MEDIUM,,B,William Klein New York 1956,Verify exact national issue and completeness.
elsken-love-left-bank-1956,Ed van der Elsken,Ed Van Der Elsken,Een Liefdesgeschiedenis in Saint Germain des Prés,Love on the Left Bank | Saint Germain des Pres,1956,De Bezige Bij,,Pre-1970 Unicorn Radar | Roth 101 | Parr/Badger,S,1,Target the 1956 Dutch first in black cloth with original photographic dust jacket; 1956 André Deutsch English first is also collectible but separate.,,,HIGH,Roth 101 and Ed van der Elsken archive,CORE,street | youth | relationships | Paris,HIGH,,Original dust jacket,MEDIUM,,B,Ed van der Elsken Saint Germain,Dutch first preferred.
vanderkeuken-wij-zijn-17-1955,Johan van der Keuken,Joan van der Keuken,Wij zijn 17,We Are 17,1955,,,Pre-1970 Unicorn Radar | Parr/Badger,S,1,Target the original 1955 first edition.,,,HIGH,Parr/Badger and collector curation,CORE,youth documentary | Netherlands,HIGH,,Original first edition,MEDIUM,,B,van der Keuken Wij zijn 17,Early Van der Keuken target.
vanderkeuken-achter-glas-1957,Johan van der Keuken,Joan van der Keuken,Achter Glas,Behind Glass,1957,,,Pre-1970 Unicorn Radar | Parr/Badger,S,1,Target the original 1957 first edition.,,,HIGH,Parr/Badger and collector curation,CORE,social documentary | Netherlands,HIGH,,Original first edition,MEDIUM,,B,van der Keuken Achter Glas,Early Van der Keuken target.
chargesheimer-krahnenbaumen-1958,Chargesheimer,Karl Heinz Hargesheimer,Unter Krahnenbäumen,Unter Krahnenbaeumen,1958,Greven Verlag,,Pre-1970 Unicorn Radar,S,1,Target the 1958 Greven original with Heinrich Böll text; distinguish 1998 and later reprints.,,,HIGH,Specialist bibliography and collector curation,CORE,German social documentary | street | community,HIGH,,Original 1958 issue,MEDIUM,,B,Chargesheimer Unter Krahnenbaeumen,Original only.
narahara-human-land-1958,Ikko Narahara,Narahara Ikko,Human Land,Ningen no Tochi | 人間の土地,1958,,,Pre-1970 Unicorn Radar | Parr/Badger,S,1,Target the original 1958 Japanese first edition and verify complete original wrappers/jacket.,,,HIGH,Parr/Badger and collector curation,CORE,Japanese documentary | community | postwar,HIGH,,Original first edition,MEDIUM,,B,Narahara Human Land,Important early Narahara.
ishimoto-someday-1958,Yasuhiro Ishimoto,Ishimoto Yasuhiro,Someday Somewhere,Aru hi Aru tokoro | ある日ある所,1958,Geibi Shuppansha,,Pre-1970 Unicorn Radar,S,1,"Target the 1958 first edition in navy cloth with yellow spine, original colour photo dust jacket and tipped-in imprint leaf.",,,HIGH,Specialist dealer bibliography and collector curation,CORE,street | Chicago | Japan | modernist documentary,HIGH,YES,Original dust jacket; tipped-in imprint leaf,MEDIUM,,B,Ishimoto Someday Somewhere,First book and major Japanese photobook.
levitt-way-seeing-1965,Helen Levitt,,A Way of Seeing,,1965,Viking Press,,Pre-1970 Unicorn Radar | Roth 101 | Parr/Badger,S,1,Target the 1965 first edition in black cloth with original photographic dust jacket.,,,HIGH,Roth 101 and collector curation,CORE,street | New York | children | humanist,HIGH,,Original dust jacket,MEDIUM,,B,Helen Levitt A Way of Seeing,First edition jacketed copy.
lyon-lower-manhattan-1969,Danny Lyon,,The Destruction of Lower Manhattan,,1969,Macmillan,,Pre-1970 Unicorn Radar,S,1,Target the 1969 first edition; signed/limited copies with original print are exceptional variants.,,,HIGH,Bibliographic records and collector curation,CORE,urban documentary | architecture | demolition,HIGH,,First edition; rare signed/print variants,MEDIUM,,B,Danny Lyon Destruction Lower Manhattan,Verify issue and any special-edition components.
freed-black-white-america-1968,Leonard Freed,,Black in White America,,1968,,,Pre-1970 Unicorn Radar | Parr/Badger,S,1,Target the 1968 first edition and original jacket.,,,HIGH,Parr/Badger and collector curation,CORE,civil rights | social documentary | America,HIGH,,Original dust jacket,MEDIUM,,B,Leonard Freed Black White America,First edition only.
doisneau-banlieue-1949,Robert Doisneau and Blaise Cendrars,Robert Doisneau | Blaise Cendrars,La Banlieue de Paris,,1949,Pierre Seghers,,Pre-1970 Unicorn Radar | Roth 101 | Parr/Badger,S,1,Target the 1949 first edition in yellow boards with original photographic dust jacket.,,,HIGH,Roth 101 and collector curation,CORE,humanist documentary | Paris suburbs | people,HIGH,,Original dust jacket,MEDIUM,,B,Doisneau Banlieue de Paris,Jacketed first preferred.
ronis-belleville-1954,Willy Ronis,,Belleville Ménilmontant,Belleville Menilmontant,1954,,,Pre-1970 Unicorn Radar,S,1,Target the original 1954 first edition.,,,HIGH,Institutional rare-book record and collector curation,CORE,humanist documentary | Paris | working-class life,HIGH,,Original first edition,MEDIUM,,B,Willy Ronis Belleville Menilmontant,Original issue.
agee-evans-famous-men-1941,Walker Evans and James Agee,James Agee | Walker Evans,Let Us Now Praise Famous Men,,1941,Houghton Mifflin,,Pre-1970 Unicorn Radar | Roth 101 | Parr/Badger,S,1,Target the 1941 Houghton Mifflin first edition in black cloth with original printed dust jacket.,,,HIGH,Roth 101 and collector curation,CORE,social documentary | rural America | poverty,HIGH,,Original dust jacket,MEDIUM,,B,Evans Agee Famous Men 1941,True 1941 first.
abbott-changing-new-york-1939,Berenice Abbott,,Changing New York,,1939,E. P. Dutton,,Pre-1970 Unicorn Radar | Roth 101 | Parr/Badger,S,1,Target the 1939 first edition in blue cloth with original photographic dust jacket.,,,HIGH,Roth 101 and collector curation,CORE,urban documentary | New York,HIGH,,Original dust jacket,MEDIUM,,B,Berenice Abbott Changing New York,Jacketed first preferred.
lange-american-exodus-1939,Dorothea Lange and Paul Schuster Taylor,Dorothea Lange | Paul Taylor,An American Exodus,,1939,Reynal & Hitchcock,,Pre-1970 Unicorn Radar | Roth 101 | Parr/Badger,S,1,Target the 1939 first edition in blue cloth with original photographic dust jacket.,,,HIGH,Roth 101 and collector curation,CORE,social documentary | migration | America,HIGH,,Original dust jacket,MEDIUM,,B,Dorothea Lange American Exodus,True first.
bourke-white-faces-1937,Margaret Bourke-White and Erskine Caldwell,Margaret Bourke White | Erskine Caldwell,You Have Seen Their Faces,,1937,Viking Press,,Pre-1970 Unicorn Radar | Roth 101 | Parr/Badger,S,1,Target the 1937 first edition in tan cloth with original photographic dust jacket.,,,HIGH,Roth 101 and collector curation,CORE,social documentary | American South,HIGH,,Original dust jacket,MEDIUM,,B,Bourke White Seen Their Faces,Jacketed first.
kertesz-day-paris-1945,André Kertész,Andre Kertesz,Day of Paris,,1945,J. J. Augustin,,Pre-1970 Unicorn Radar | Roth 101 | Parr/Badger,S,1,Target the 1945 first edition in yellow cloth with original photographic dust jacket.,,,HIGH,Roth 101 and collector curation,CORE,street | Paris | humanist,HIGH,,Original dust jacket,MEDIUM,,B,Kertesz Day of Paris,First edition.
capa-slightly-out-focus-1947,Robert Capa,,Slightly Out of Focus,,1947,Henry Holt,,Pre-1970 Unicorn Radar | Roth 101,S,1,Target the 1947 first edition in brown cloth with original printed dust jacket.,,,HIGH,Roth 101 and collector curation,CORE,war documentary | memoir | photojournalism,HIGH,,Original dust jacket,MEDIUM,,B,Robert Capa Slightly Out Focus,First edition.
morris-inhabitants-1946,Wright Morris,,The Inhabitants,,1946,Charles Scribner's Sons,,Pre-1970 Unicorn Radar | Roth 101,S,1,Target the 1946 first edition in tan cloth with original dust jacket.,,,HIGH,Roth 101 and collector curation,CORE,American vernacular | documentary | text-image,HIGH,,Original dust jacket,MEDIUM,,B,Wright Morris Inhabitants,First edition with jacket.
klein-tokyo-1964,William Klein,,Tokyo,,1964,,,Pre-1970 Unicorn Radar | Parr/Badger,S,1,Target the original 1964 first edition and verify original jacket/obi or accompanying material by issue.,,,HIGH,Parr/Badger and collector curation,CORE,street | Tokyo | urban documentary,HIGH,,Complete original first edition,MEDIUM,,B,William Klein Tokyo 1964,Distinguish later editions.
klein-moscow-1964,William Klein,,Moscow,,1964,,,Pre-1970 Unicorn Radar | Parr/Badger,S,1,Target the original 1964 first edition and verify original jacket/issue.,,,HIGH,Parr/Badger and collector curation,CORE,street | Moscow | urban documentary,HIGH,,Complete original first edition,MEDIUM,,B,William Klein Moscow 1964,Distinguish later editions.
sudek-fotografie-1956,Josef Sudek,,Josef Sudek Fotografie,,1956,SNKLHU,,Pre-1970 Unicorn Radar | Roth 101,S,1,Target the 1956 first edition in tan cloth with satin bookmark and original printed dust jacket.,,,HIGH,Roth 101 and collector curation,CORE,Czech photography | city | still life | landscape,MEDIUM,,Dust jacket; satin bookmark,MEDIUM,,B,Josef Sudek Fotografie 1956,First edition complete.
avedon-observations-1959,Richard Avedon and Truman Capote,Richard Avedon | Truman Capote,Observations,,1959,Simon and Schuster,,Pre-1970 Unicorn Radar | Roth 101,S,1,Target the 1959 first edition with original acetate jacket and printed board slipcase.,,,HIGH,Roth 101 and collector curation,CORE,portraiture | cultural documentary,MEDIUM,,Acetate jacket; slipcase,MEDIUM,,B,Avedon Observations 1959,Completeness matters.
penn-moments-preserved-1960,Irving Penn,,Moments Preserved,,1960,Simon and Schuster,,Pre-1970 Unicorn Radar | Roth 101,A,1,Target the 1960 first edition with dust jacket and colour illustrated slipcase.,,,HIGH,Roth 101 and collector curation,CORE,portraiture | fashion | travel,MEDIUM,,Dust jacket; slipcase,MEDIUM,,C,Irving Penn Moments Preserved,Complete first edition.
brandt-perspective-nudes-1961,Bill Brandt,,Perspective of Nudes,,1961,Amphoto,,Pre-1970 Unicorn Radar | Roth 101 | Parr/Badger,A,1,Target the 1961 first edition with original photographic dust jacket.,,,HIGH,Roth 101 and collector curation,CORE,British photography | body | modernism,MEDIUM,,Original dust jacket,MEDIUM,,C,Bill Brandt Perspective Nudes,First edition.
callahan-photographs-1964,Harry Callahan,,Harry Callahan Photographs,,1964,El Mochuelo Gallery,,Pre-1970 Unicorn Radar | Roth 101,A,1,"Target the 1964 first edition, one of 1,500 copies, in original black cloth slipcase.",,,HIGH,Roth 101 and collector curation,CORE,street | family | formal documentary,MEDIUM,,Original slipcase,MEDIUM,,C,Harry Callahan Photographs 1964,Complete slipcased issue.
beard-end-game-1965,Peter Beard,,The End of the Game,End of the Game,1965,Viking Press,,Pre-1970 Unicorn Radar | Roth 101,A,1,Target the 1965 first edition in gray cloth with original photographic dust jacket.,,,HIGH,Roth 101 and collector curation,CORE,documentary | Africa | ecology,MEDIUM,,Original dust jacket,MEDIUM,,C,Peter Beard End of the Game 1965,First edition.
evans-many-called-1966,Walker Evans,,Many Are Called,,1966,Houghton Mifflin,,Pre-1970 Unicorn Radar | Roth 101 | Parr/Badger,A,1,Target the 1966 first edition in black cloth with original printed dust jacket.,,,HIGH,Roth 101 and collector curation,CORE,street portraiture | subway | New York,HIGH,,Original dust jacket,MEDIUM,,C,Walker Evans Many Are Called,First edition.
winogrand-animals-1969,Garry Winogrand,,The Animals,,1969,Museum of Modern Art,,Pre-1970 Unicorn Radar | Roth 101 | Parr/Badger,A,1,Target the 1969 first edition in original photographically illustrated wrappers.,,,HIGH,Roth 101 and collector curation,CORE,street | human behaviour | zoo,HIGH,,Original wrappers,MEDIUM,,C,Garry Winogrand Animals 1969,First edition.
mulas-new-york-art-scene-1967,Ugo Mulas,,New York: The New Art Scene,New York The New Art Scene,1967,"Holt, Rinehart and Winston",,Pre-1970 Unicorn Radar | Roth 101,A,1,Target the 1967 first edition in tan cloth with original photographic dust jacket.,,,HIGH,Roth 101 and collector curation,CORE,New York | artists | cultural documentary,MEDIUM,,Original dust jacket,MEDIUM,,C,Ugo Mulas New York Art Scene,First edition.
warhol-index-1967,Andy Warhol,,Andy Warhol's Index (Book),Warhol Index Book,1967,Random House,,Pre-1970 Unicorn Radar | Roth 101 | Parr/Badger,A,1,"Target the 1967 first edition with all pop-ups, fold-outs, flexi-disc, balloon and clear plastic jacket present.",,,HIGH,Roth 101 and collector curation,CORE,artist book | photography | pop art,LOW,,Complete interactive components; plastic jacket,MEDIUM,,C,Warhol Index Book 1967,Completeness is everything.
siskind-photographs-1959,Aaron Siskind,,Aaron Siskind Photographs,,1959,Horizon Press,,Pre-1970 Unicorn Radar | Roth 101,A,1,Target the 1959 first edition in black cloth with original photographic dust jacket.,,,HIGH,Roth 101 and collector curation,CORE,documentary abstraction | urban surfaces,MEDIUM,,Original dust jacket,MEDIUM,,C,Aaron Siskind Photographs 1959,First edition.
strand-france-profil-1952,Paul Strand and Claude Roy,Paul Strand | Claude Roy,La France de Profil,,1952,La Guilde du Livre,,Pre-1970 Unicorn Radar | Roth 101 | Parr/Badger,A,1,Target the 1952 first edition in photographic wrappers with original glassine.,,,HIGH,Roth 101 and collector curation,CORE,humanist documentary | France | rural life,HIGH,,Original glassine,MEDIUM,,C,Paul Strand France de Profil,Complete first edition.
sudek-praha-panoramaticka-1959,Josef Sudek,,Praha Panoramatická,Praha Panoramaticka | Prague Panorama,1959,SNKLHU,,Pre-1970 Unicorn Radar | Parr/Badger,A,1,Target the January 1959 first edition in original cloth with photographic dust jacket; distinguish the 1992 second edition.,,,HIGH,Parr/Badger and specialist bibliography,CORE,city | Prague | panorama | documentary,MEDIUM,,Original dust jacket,MEDIUM,,C,Sudek Praha Panoramaticka,1959 first only.
elsken-bagara-1958,Ed van der Elsken,Ed Van Der Elsken,Bagara,,1958,De Bezige Bij,,Pre-1970 Unicorn Radar,A,1,Target the 1958 first edition with the narrow text booklet supplied at the rear and all original cover/jacket components.,,,HIGH,Ed van der Elsken archive,CORE,travel documentary | Central Africa | people,HIGH,,Original text booklet,MEDIUM,,C,Ed van der Elsken Bagara,Check for the separate text booklet.
domon-chikuho-1960,Ken Domon,Domon Ken,Chikuho no Kodomotachi,Children of Chikuho | 筑豊のこどもたち,1960,Patria Shoten,,Pre-1970 Unicorn Radar | Parr/Badger,A,1,Target the 1960 first edition and verify complete original wrappers/jacket.,,,HIGH,National Diet Library and Parr/Badger,CORE,Japanese social documentary | children | mining community,HIGH,,Original first edition,MEDIUM,,C,Ken Domon Chikuho Kodomotachi,Original 1960 issue.
hosoe-man-woman-1961,Eikoh Hosoe,,Man and Woman,Otoko to Onna | おとこと女,1961,,,Pre-1970 Unicorn Radar | Parr/Badger,A,1,Target the original 1961 first edition and verify all original housing.,,,HIGH,Parr/Badger and collector curation,CORE,Japanese avant-garde | body | performance,MEDIUM,,Original first edition,MEDIUM,,C,Hosoe Otoko to Onna,Original issue.
hosoe-kamaitachi-1969,Eikoh Hosoe,,Kamaitachi,鎌鼬,1969,,,Pre-1970 Unicorn Radar | Parr/Badger,A,1,"Target the 1969 first edition and verify complete original binding, jacket and housing.",,,HIGH,Parr/Badger and collector curation,CORE,Japanese avant-garde | rural | performance,HIGH,,Complete first edition,MEDIUM,,C,Hosoe Kamaitachi 1969,Original issue only.
tomatsu-nippon-1967,Shomei Tomatsu,Tōmatsu Shōmei | Tomatsu Shomei,Nippon,Japan | 日本,1967,Shaken,,Pre-1970 Unicorn Radar,A,1,Target the 1967 Shaken first edition in silver cloth with publisher's clear plastic jacket and any laid-in publisher material.,,,HIGH,Specialist Japanese photobook bibliography,CORE,Japanese postwar documentary | national identity,HIGH,,Clear plastic jacket; laid-in sheet,MEDIUM,,C,Tomatsu Nippon 1967,First publication of Tomatsu's Shaken imprint.
