"Record ID","Contributor","Contributor aliases","Title","Title aliases","Year","Publisher","ISBN","Canon sources","Collectibility tier","Search priority","First edition notes","Strong buy GBP","Bargain GBP","Evidence confidence","Source","Search tier","Collector profile","Documentary relevance","First monograph","Collectible variants","Special edition priority","Awards and evidence"
"contemporary:mohamed-bourouissa-peripherique","Mohamed Bourouissa","","Périphérique","Peripherique","2022","Loose Joints","","Curated contemporary documentary | Paris Photo-Aperture PhotoBook of the Year winner 2022","A","0","Original 2022 Loose Joints edition; verify all gatefolds and printing.","","","HIGH","https://aperture.org/editorial/announcing-the-winners-of-the-2022-photobook-awards/","CORE","Paris suburbs | migration | media representation | staged documentary","HIGH","NO","Signed first editions may occur","MEDIUM","Paris Photo-Aperture PhotoBook of the Year winner 2022"
"contemporary:hicham-benohoud-classroom","Hicham Benohoud","","The Classroom","Classroom","2025","Loose Joints","","Curated contemporary documentary | Paris Photo-Aperture PhotoBook of the Year winner 2025","A","0","Original 2025 Loose Joints edition.","","","HIGH","https://aperture.org/editorial/announcing-the-winners-of-the-2025-photobook-awards/","CORE","education | youth | Morocco | postcolonial society","HIGH","NO","Signed first editions may occur","MEDIUM","Paris Photo-Aperture PhotoBook of the Year winner 2025"
"contemporary:eleonora-agostini-waitressing","Eleonora Agostini","","A Study on Waitressing","Study on Waitressing","2025","Witty Books","","Curated contemporary documentary | Paris Photo-Aperture First PhotoBook winner 2025","A","0","Original 2025 Witty Books edition.","","","HIGH","https://aperture.org/editorial/announcing-the-winners-of-the-2025-photobook-awards/","CORE","gender | labour | performance | contemporary work","HIGH","YES","Signed first editions may occur","MEDIUM","Paris Photo-Aperture First PhotoBook winner 2025"
"contemporary:tsai-ting-bang-born-root","Tsai Ting Bang","","Born from the Same Root","","2024","Self-published","","Curated contemporary documentary | Paris Photo-Aperture First PhotoBook winner 2024","A","0","Original 2024 self-published edition; verify complete bipartite binding.","","","HIGH","https://aperture.org/editorial/announcing-the-winners-of-the-2024-photobook-awards/","CORE","family | mental health | Taiwan | intimate documentary","HIGH","YES","Small self-published first edition","HIGH","Paris Photo-Aperture First PhotoBook winner 2024"
"contemporary:hady-barry-not-your-mother","Hady Barry","","i am (not) your mother","I Am Not Your Mother","2024","Self-published / Penumbra Foundation","","Curated contemporary documentary | Paris Photo-Aperture jurors' special mention 2024","B","1","Original one-of-a-kind Risograph self-published issue; verify colophon and completeness.","","","HIGH","https://aperture.org/editorial/announcing-the-winners-of-the-2024-photobook-awards/","CORE","family | migration | Côte d'Ivoire | Senegal | trauma","HIGH","YES","One-of-a-kind Risograph production characteristics","HIGH","Paris Photo-Aperture jurors' special mention 2024"
"contemporary:carla-williams-tender","Carla Williams","","Tender","","2023","TBW Books","","Curated contemporary documentary | Paris Photo-Aperture First PhotoBook winner 2023","A","0","Original 2023 TBW Books edition.","","","HIGH","https://aperture.org/editorial/announcing-the-winners-of-the-2023-photobook-awards/","CORE","self-portraiture | Black feminist expression | coming of age | archive","MEDIUM","YES","Signed first editions may occur","MEDIUM","Paris Photo-Aperture First PhotoBook winner 2023"
"contemporary:sasha-phyars-burgess-untitled","Sasha Phyars-Burgess","","Untitled","","2021","Capricious Publishing","","Curated contemporary documentary | Paris Photo-Aperture First PhotoBook winner 2021","A","0","Original 2021 Capricious Publishing edition; short title requires contributor confirmation.","","","HIGH","https://aperture.org/editorial/announcing-the-winners-of-the-2021-photobook-awards/","CORE","family | Caribbean heritage | race | transatlantic history","HIGH","YES","Signed first editions may occur","MEDIUM","Paris Photo-Aperture First PhotoBook winner 2021"
"contemporary:muhammad-fadli-banda-journal","Muhammad Fadli and Fatris MF","Muhammad Faldi | Fatris MF","The Banda Journal","Banda Journal","2021","Jordan, jordan Édition","","Curated contemporary documentary | Paris Photo-Aperture PhotoBook of the Year winner 2021","A","0","Original 2021 edition; verify all text and photographic components.","","","HIGH","https://aperture.org/editorial/announcing-the-winners-of-the-2021-photobook-awards/","CORE","Indonesia | colonial history | trade | contemporary consequences","HIGH","NO","Signed first editions may occur","MEDIUM","Paris Photo-Aperture PhotoBook of the Year winner 2021"
"contemporary:vasantha-yogananthan-amma","Vasantha Yogananthan","","Amma","","2021","Chose Commune","","Curated contemporary documentary | Paris Photo-Aperture jurors' special mention 2021","A","0","Final volume of the seven-book A Myth of Two Souls series; completeness and series state matter.","","","HIGH","https://aperture.org/editorial/announcing-the-winners-of-the-2021-photobook-awards/","CORE","India | myth | contemporary society | colour | constructed documentary","MEDIUM","NO","Complete seven-volume A Myth of Two Souls set is a priority | signed copies may occur","HIGH","Paris Photo-Aperture jurors' special mention 2021"
"contemporary:gloria-oyarzabal-woman-go-nogree","Gloria Oyarzabal","","Woman Go No'Gree","Woman Go No Gree","2020","Editorial RM / Images Vevey","","Curated contemporary documentary | Paris Photo-Aperture PhotoBook of the Year winner 2020","A","0","Original 2020 edition.","","","HIGH","https://aperture.org/editorial/paris-photo-aperture-photobook-award-winners-2020/","CORE","West Africa | colonialism | feminism | archive","HIGH","NO","Signed first editions may occur","MEDIUM","Paris Photo-Aperture PhotoBook of the Year winner 2020"
"contemporary:ryan-debolski-like","Ryan Debolski","","LIKE","","2020","Gnomic Book","","Curated contemporary documentary | Paris Photo-Aperture jurors' special mention 2020","B","1","Original 2020 Gnomic Book edition; short title requires contributor confirmation.","","","HIGH","https://aperture.org/editorial/paris-photo-aperture-photobook-award-winners-2020/","CORE","migrant workers | Oman | friendship | bodies | landscape","HIGH","YES","Signed first editions may occur","MEDIUM","Paris Photo-Aperture jurors' special mention 2020"
"contemporary:gao-shan-eighth-day","Gao Shan","","The Eighth Day","Eighth Day","2019","Imageless","","Curated contemporary documentary | Paris Photo-Aperture First PhotoBook winner 2019","A","0","Original 2019 Imageless edition.","","","HIGH","https://aperture.org/editorial/announcing-winners-2019-photobook-awards/","CORE","adoption | family | domestic life | China","HIGH","YES","Small first edition | signed copies may occur","HIGH","Paris Photo-Aperture First PhotoBook winner 2019"
"contemporary:sohrab-hura-coast","Sohrab Hura","","The Coast","Coast","2019","UGLY DOG","","Curated contemporary documentary | Paris Photo-Aperture PhotoBook of the Year winner 2019","A","0","Original 2019 self-published UGLY DOG edition.","","","HIGH","https://aperture.org/editorial/announcing-winners-2019-photobook-awards/","CORE","India | violence | caste | politics | experimental documentary","HIGH","NO","Artist-published first edition | signed copies may occur","HIGH","Paris Photo-Aperture PhotoBook of the Year winner 2019"
"contemporary:stanley-wolukau-one-wall","Stanley Wolukau-Wanambwa","","One Wall a Web","","2018","Roma Publications","","Curated contemporary documentary | Paris Photo-Aperture First PhotoBook winner 2018","A","0","Original 2018 Roma Publications edition.","","","HIGH","https://aperture.org/editorial/announcing-winners-2018-photobook-awards/","CORE","race | American landscape | history | systemic power","HIGH","YES","Signed first editions may occur","MEDIUM","Paris Photo-Aperture First PhotoBook winner 2018"
"contemporary:laia-abril-on-abortion","Laia Abril","","On Abortion","A History of Misogyny Chapter One: On Abortion","2018","Dewi Lewis Publishing","","Curated contemporary documentary | Paris Photo-Aperture PhotoBook of the Year winner 2018","A","0","Original 2018 Dewi Lewis edition; retain all inserts or issued components.","","","HIGH","https://aperture.org/editorial/announcing-winners-2018-photobook-awards/","CORE","women's rights | health | archive | investigative documentary","HIGH","NO","Signed first editions may occur","MEDIUM","Paris Photo-Aperture PhotoBook of the Year winner 2018"
"contemporary:pixy-liao-experimental-relationship","Pixy Liao","","Experimental Relationship Vol. 1","Experimental Relationship Volume 1","2018","Jiazazhi Press","","Curated contemporary documentary | Paris Photo-Aperture jurors' special mention 2018","B","1","Original 2018 Jiazazhi Press volume one.","","","HIGH","https://aperture.org/editorial/announcing-winners-2018-photobook-awards/","CORE","gender | intimacy | performance | relationships","MEDIUM","YES","Signed first editions may occur","MEDIUM","Paris Photo-Aperture jurors' special mention 2018"
"contemporary:mathieu-asselin-monsanto","Mathieu Asselin","","Monsanto: A Photographic Investigation","Monsanto","2017","Verlag Kettler / Actes Sud","","Curated contemporary documentary | Paris Photo-Aperture First PhotoBook winner 2017","A","0","Original 2017 edition; verify all documentary and facsimile components.","","","HIGH","https://aperture.org/editorial/announcing-winners-2017-photobook-awards/","CORE","investigative documentary | corporate power | environment | public health","HIGH","YES","Signed first editions may occur","MEDIUM","Paris Photo-Aperture First PhotoBook winner 2017"
"contemporary:dayanita-singh-museum-bhavan","Dayanita Singh","","Museum Bhavan","","2017","Steidl","","Curated contemporary documentary | Paris Photo-Aperture PhotoBook of the Year winner 2017","A","0","Book-of-books construction; verify every volume and the complete issued housing.","","","HIGH","https://aperture.org/editorial/announcing-winners-2017-photobook-awards/","CORE","India | archives | institutions | book-object practice","MEDIUM","NO","Complete boxed book-of-books object","HIGH","Paris Photo-Aperture PhotoBook of the Year winner 2017"
"contemporary:spottorno-abril-la-grieta","Carlos Spottorno and Guillermo Abril","Carlos Spottorno | Guillermo Abril","La Grieta","The Crack","2016","Astiberri Ediciones","","Curated contemporary documentary | Paris Photo-Aperture jurors' special mention 2017","B","1","Original 2016 edition.","","","HIGH","https://aperture.org/editorial/announcing-winners-2017-photobook-awards/","CORE","migration | European borders | graphic documentary | journalism","HIGH","NO","Signed first editions may occur","MEDIUM","Paris Photo-Aperture jurors' special mention 2017"
"contemporary:michael-christopher-brown-libyan-sugar","Michael Christopher Brown","","Libyan Sugar","","2016","Twin Palms Publishers","","Curated contemporary documentary | Paris Photo-Aperture First PhotoBook winner 2016","A","0","Original 2016 Twin Palms edition.","","","HIGH","https://aperture.org/editorial/announcing-winners-2016-photobook-awards/","CORE","war | Libya | personal documentary | conflict","HIGH","YES","Signed first editions may occur","MEDIUM","Paris Photo-Aperture First PhotoBook winner 2016"
"contemporary:gregory-halpern-zzyzx","Gregory Halpern","","ZZYZX","","2016","MACK","","Curated contemporary documentary | Paris Photo-Aperture PhotoBook of the Year winner 2016","A","0","Target the original 2016 MACK edition; distinguish later printings.","","","HIGH","https://aperture.org/editorial/announcing-winners-2016-photobook-awards/","CORE","Los Angeles | American landscape | social observation | colour","HIGH","NO","Signed first editions and publisher editions may occur","HIGH","Paris Photo-Aperture PhotoBook of the Year winner 2016"
"contemporary:groeschner-messmer-taking-stock","Annett Gröschner and Arwed Messmer","Annett Groschner | Arwed Messmer","Taking Stock of Power: An Other View of the Berlin Wall","Taking Stock of Power","2016","Hatje Cantz","","Curated contemporary documentary | Paris Photo-Aperture jurors' special mention 2016","B","1","Original two-volume 2016 set; both volumes and all issued material must be present.","","","HIGH","https://aperture.org/editorial/announcing-winners-2016-photobook-awards/","CORE","Berlin Wall | state archive | political history | documentary","HIGH","NO","Complete two-volume set","HIGH","Paris Photo-Aperture jurors' special mention 2016"
"contemporary:mack-marvel","Marvel Harris","","MARVEL","Marvel","","MACK","","Curated contemporary documentary | MACK First Book Award winner","A","0","Original MACK First Book Award edition; short title requires contributor confirmation.","","","HIGH","https://mackbooks.co.uk/collections/first-book-award","CORE","gender identity | autobiography | intimate documentary","HIGH","YES","Signed first editions may occur","MEDIUM","MACK First Book Award winner 2021"
"contemporary:mack-45","Damien Heinisch","","45","Forty Five","","MACK","","Curated contemporary documentary | MACK First Book Award winner","B","1","Original MACK First Book Award edition; numeric title requires contributor confirmation.","","","HIGH","https://mackbooks.co.uk/collections/first-book-award","CORE","contemporary documentary | personal history","MEDIUM","YES","Signed first editions may occur","MEDIUM","MACK First Book Award winner"
"contemporary:mack-oobanken","Jerome Ming","Jérôme Ming","Oobanken","","2019","MACK","","Curated contemporary documentary | MACK First Book Award winner","A","0","Original 2019 MACK edition.","","","HIGH","https://mackbooks.co.uk/products/oobanken-br-jerome-ming","CORE","Myanmar | memory | place | constructed documentary","MEDIUM","YES","Signed first editions may occur","MEDIUM","MACK First Book Award winner 2019"
"contemporary:mack-frowst","Joanna Piotrowska","","FROWST","Frowst","","MACK","","Curated contemporary documentary | MACK First Book Award winner","A","0","Original MACK First Book Award edition.","","","HIGH","https://mackbooks.co.uk/collections/first-book-award","CORE","family | power | intimacy | staged documentary","MEDIUM","YES","Signed first editions may occur","MEDIUM","MACK First Book Award winner"
"contemporary:mack-nothings-in-vain","Emmanuelle Andrianjafy","","Nothing's in Vain","Nothings in Vain","","MACK","","Curated contemporary documentary | MACK First Book Award winner","A","0","Original MACK First Book Award edition.","","","HIGH","https://mackbooks.co.uk/collections/first-book-award","CORE","Madagascar | family | place | personal documentary","HIGH","YES","Signed first editions may occur","MEDIUM","MACK First Book Award winner"
"contemporary:mack-worst-bars","Ciarán Óg Arnold","Ciaran Og Arnold","I went to the worst of bars hoping to get killed, but all I could do was get drunk again","Worst of Bars","","MACK","","Curated contemporary documentary | MACK First Book Award winner","A","0","Original MACK First Book Award edition.","","","HIGH","https://mackbooks.co.uk/collections/first-book-award","CORE","Irish social documentary | nightlife | alienation | black and white","HIGH","YES","Signed first editions may occur","MEDIUM","MACK First Book Award winner"
"contemporary:mack-merryman","Anne Sophie Merryman","","Mrs. Merryman's Collection","Mrs Merrymans Collection","","MACK","","Curated contemporary documentary | MACK First Book Award winner","B","1","Original MACK First Book Award edition.","","","HIGH","https://mackbooks.co.uk/collections/first-book-award","CORE","archive | domestic history | vernacular photography","MEDIUM","YES","Signed first editions may occur","MEDIUM","MACK First Book Award winner"
"contemporary:mack-swamp","Sofia Borges","","The Swamp","Swamp","","MACK","","Curated contemporary documentary | MACK First Book Award winner","B","1","Original MACK First Book Award edition.","","","HIGH","https://mackbooks.co.uk/collections/first-book-award","CORE","museum | natural history | image construction","LOW","YES","Signed first editions may occur","MEDIUM","MACK First Book Award winner"
"contemporary:mack-between-shell","Paul Salveson","","Between the Shell","","","MACK","","Curated contemporary documentary | MACK First Book Award winner","B","1","Original MACK First Book Award edition.","","","HIGH","https://mackbooks.co.uk/collections/first-book-award","CORE","American social landscape | domestic space | colour","MEDIUM","YES","Signed first editions may occur","MEDIUM","MACK First Book Award winner"
"contemporary:mack-ttp","Hayahisa Tomiyasu","","TTP","","2018","MACK","","Curated contemporary documentary | MACK First Book Award winner","A","0","Target the 2018 first edition; MACK also lists later printings.","","","HIGH","https://mackbooks.co.uk/products/ttp-br-hayahisa-tomiyasu-first-edition-fourth-printing","CORE","public space | behaviour | typology | everyday life","MEDIUM","YES","First edition preferred over documented later printings","HIGH","MACK First Book Award winner 2018"
"contemporary:mahmoud-khattab-dog","Mahmoud Khattab","","The Dog Sat Where We Parted","","2025","Self-published","","Curated contemporary documentary | Kraszna-Krausz Photography Book Award winner 2025","A","0","Original self-published 2025 edition; verify edition size and colophon.","","","HIGH","https://kraszna-krausz.org.uk/book-awards/2025-book-awards/","CORE","Egypt | military life | vulnerability | personal documentary","HIGH","YES","Small self-published first edition","HIGH","Kraszna-Krausz Photography Book Award winner 2025"
"contemporary:hristina-tasheva-far-away","Hristina Tasheva","","Far Away From Home: The Voices, the Body and the Periphery","Far Away From Home","2024","Self-published","","Curated contemporary documentary | Kraszna-Krausz Photography Book Award winner 2024","A","0","Original self-published 2024 edition.","","","HIGH","https://kraszna-krausz.org.uk/book-awards/past-photography-winners/","CORE","migration | body | periphery | social history","HIGH","NO","Small self-published edition","HIGH","Kraszna-Krausz Photography Book Award winner 2024"
"contemporary:andi-galdi-vinko-sorry","Andi Galdi Vinko","Andi Gáldi Vinkó","Sorry I Gave Birth I Disappeared But Now I'm Back","Sorry I Gave Birth","2023","Trolley Books","","Curated contemporary documentary | Kraszna-Krausz Photography Book Award winner 2023","A","0","Original 2023 Trolley Books edition.","","","HIGH","https://kraszna-krausz.org.uk/book-awards/2023-book-awards/","CORE","motherhood | family | body | intimate documentary","HIGH","NO","Signed first editions may occur","MEDIUM","Kraszna-Krausz Photography Book Award winner 2023"
"contemporary:maria-kapajeva-dream","Maria Kapajeva","","Dream is Wonderful, Yet Unclear","","2021","Milda Books","","Curated contemporary documentary | Kraszna-Krausz Photography Book Award joint winner 2021","A","0","Original 2021 Milda Books edition.","","","HIGH","https://kraszna-krausz.org.uk/book-awards/past-photography-winners/","CORE","women's labour | Soviet history | family archive | Estonia","HIGH","NO","Signed first editions may occur","MEDIUM","Kraszna-Krausz Photography Book Award joint winner 2021"
"contemporary:latoya-ruby-frazier-monograph","LaToya Ruby Frazier","","LaToya Ruby Frazier","","2019","Mousse Publishing / Mudam Luxembourg","","Curated contemporary documentary | Kraszna-Krausz Photography Book Award winner 2020","A","0","Original exhibition monograph published in 2019; verify printing.","","","HIGH","https://kraszna-krausz.org.uk/book-awards/2020-book-awards/","CORE","family | labour | race | environment | American social documentary","HIGH","NO","Signed first editions may occur","MEDIUM","Kraszna-Krausz Photography Book Award winner 2020"
"contemporary:zanele-muholi-somnyama","Zanele Muholi","","Somnyama Ngonyama: Hail the Dark Lioness","Somnyama Ngonyama","2018","Aperture","","Curated contemporary documentary | Kraszna-Krausz Photography Book Award winner 2019","A","0","Target the original Aperture edition and verify printing.","","","HIGH","https://kraszna-krausz.org.uk/book-awards/past-photography-winners/","CORE","self-portraiture | race | gender | South Africa | visual activism","HIGH","NO","Signed first editions and book-print sets may occur","HIGH","Kraszna-Krausz Photography Book Award winner 2019"
"contemporary:chrystel-lebas-field-studies","Chrystel Lebas","","Field Studies: Walking through Landscapes and Archives","Field Studies","2018","Fw:Books","","Curated contemporary documentary | Kraszna-Krausz Photography Book Award winner 2018","A","0","Original 2018 Fw:Books edition.","","","HIGH","https://kraszna-krausz.org.uk/book-awards/past-photography-winners/","CORE","landscape | archive | ecology | field research","HIGH","NO","Signed first editions may occur","MEDIUM","Kraszna-Krausz Photography Book Award winner 2018"
"contemporary:fazal-sheikh-erasure-trilogy","Fazal Sheikh","","The Erasure Trilogy","Erasure Trilogy","2016","Steidl","","Curated contemporary documentary | Kraszna-Krausz Photography Book Award winner 2016","A","0","Complete original three-volume set required; verify all volumes and housing.","","","HIGH","https://kraszna-krausz.org.uk/book-awards/past-photography-winners/","CORE","human rights | displacement | conflict | social documentary","HIGH","NO","Complete three-volume set | signed copies may occur","HIGH","Kraszna-Krausz Photography Book Award winner 2016"
