Record ID,Contributor,Contributor aliases,Title,Title aliases,Year,Publisher,ISBN,Canon sources,Collectibility tier,Search priority,First edition notes,Strong buy GBP,Bargain GBP,Evidence confidence,Source,Search tier
bill-brandt-english-home,Bill Brandt,,The English at Home,,,,,Priority seed,S,1,,,,High,Priority seed,CORE
bill-brandt-night-london,Bill Brandt,,A Night in London,,,,,Priority seed,S,1,,,,High,Priority seed,CORE
anders-petersen-cafe,Anders Petersen,,Café Lehmitz,Cafe Lehmitz,,,,Priority seed,S,1,,,,High,Priority seed,CORE
boris-mikhailov-case-history,Boris Mikhailov,,Case History,,,,,Priority seed,S,1,,,,High,Priority seed,CORE
rinko-kawauchi-utatane,Rinko Kawauchi,,Utatane,,,,,Priority seed,A,1,,,,High,Priority seed,CORE
takashi-homma-tokyo-suburbia,Takashi Homma,,Tokyo Suburbia,,,,,Priority seed,A,1,,,,High,Priority seed,CORE
jamie-hawkesworth-preston,Jamie Hawkesworth,,Preston Bus Station,,,,,Emerging watch,A,0,,,,High,Emerging watch,CORE
sian-davey-looking-alice,Sian Davey,,Looking for Alice,,,,,Emerging watch,A,0,,,,High,Emerging watch,CORE
tyler-mitchell-feel-good,Tyler Mitchell,,I Can Make You Feel Good,,,,,Emerging watch,A,0,,,,High,Emerging watch,CORE
jack-davison-photographs,Jack Davison,,Photographs,,,,,Emerging watch,A,0,,,,High,Emerging watch,CORE
juno-calypso-million-years,Juno Calypso,,What to Do with a Million Years,,,,,Emerging watch,A,0,,,,High,Emerging watch,CORE
maja-daniels-elf-dalia,Maja Daniels,,Elf Dalia,,,,,Emerging watch,A,0,,,,High,Emerging watch,CORE
oscar-monzon-karma,Oscar Monzon,Óscar Monzón,Karma,,,,,Emerging watch,A,0,,,,High,Emerging watch,CORE
subotzky-ponte-city,Mikhael Subotzky and Patrick Waterhouse,Mikhael Subotzky | Patrick Waterhouse,Ponte City,,,,,Emerging watch,A,0,,,,High,Emerging watch,CORE
